Problem,Symptom,Possible Solution,Category
Dead Battery,"Engine won't crank, electrical components fail","Jump start (if good battery), replace battery, check charging system",Engine
Engine Won't Start,Engine doesn't crank or sputters,"Check battery, clean/replace spark plugs, consult mechanic",Engine
Engine Overheating,"Temperature gauge rises rapidly, steam from engine bay","Pull over, turn off engine, check coolant level (if safe), call for tow truck",Engine
Car Won't Idle,Engine stalls when coming to a stop,"Check idle air control valve, clean throttle body, consult mechanic",Engine
Engine Knocking,Knocking sound from engine,"Potential causes: loose spark plugs, detonation (low-quality fuel), worn bearings (mechanic repair)",Engine
Loss of Power,"Engine feels sluggish, lacks acceleration","Check air filter, clean or replace fuel filter, consult mechanic for further diagnosis",Engine
Rough Idling,Engine vibrates excessively at idle,"Check spark plugs, clean throttle body, consult mechanic",Engine
Engine Backfiring,Popping sound from exhaust on deceleration,"Potential causes: faulty ignition system, lean fuel mixture (consult mechanic)",Engine
Oil Leak,Visible oil puddle under car,"Identify source, top up oil (temporary fix), consult mechanic to address leak",Engine
Burning Oil,"Excessive oil consumption, blue smoke from exhaust","Top up oil regularly (temporary fix), repair or replace worn piston rings or valve seals (mechanic required)",Engine
Check Engine Light,Illuminated dashboard light,"Consult mechanic for diagnosis, various potential causes",Engine
Stalling,"Engine cuts out while driving, restarts with difficulty","Check fuel system for clogs or faulty components, clean or replace spark plugs, consult mechanic",Engine
White Smoke from Exhaust,Indicates coolant burning,"Potential causes: blown head gasket, cracked cylinder head (mechanic repair)",Engine
Black Smoke from Exhaust,Indicates rich fuel mixture,"Consult mechanic for diagnosis, potential causes include faulty sensors or fuel pressure regulator",Engine
Engine Overheating (Secondary Causes),"Faulty thermostat, clogged radiator, malfunctioning water pump (mechanic repair)",Engine,
Timing Belt Issues,"Engine performance problems, ticking noise",Replace timing belt according to manufacturer's schedule (mechanic recommended),Engine
Vacuum Leak,"Engine runs rough, high idle","Check for cracked hoses or loose connections, consult mechanic",Engine
Crankcase Pressure Buildup,"Engine oil leaks, dipstick pops out",Worn piston rings or valve seals (mechanic repair),Engine
Engine Seizing,Engine locks up and won't turn,Major internal engine failure (mechanic required),Engine
Faulty Oxygen Sensor,"Reduced fuel efficiency, check engine light on",Replace oxygen sensor (consult mechanic or DIY with proper knowledge),Engine
Catalytic Converter Issues,"Reduced fuel efficiency, strong rotten egg smell from exhaust",Replace catalytic converter (mechanic recommended),Engine
Faulty Mass Airflow (MAF) Sensor,"Engine hesitation, check engine light on",Clean or replace MAF sensor (consult mechanic or DIY with proper knowledge),Engine
Coolant System Issues,"Leaks, low coolant level","Identify leak source, top up coolant (if safe), consult mechanic to address leak",Engine
Fuel System Clogged,"Engine hesitation, difficulty starting","Replace clogged fuel filter, consult mechanic for fuel injector cleaning or pump replacement",Engine
Fuel Pump Failure,"Engine won't start, sputters on acceleration",Replace fuel pump (mechanic recommended),Engine
Dead Battery,"Engine won't crank, electrical components don't work","Jump start (if good battery), replace battery, check charging system",Electrical
Dim Lights,All lights appear dim,"Check voltage regulator, alternator, consult mechanic for electrical system diagnosis",Electrical
